0
0
(317330.7975743221+0j),(-1445.9201355748787+30.977592950472978j),(-1531.5006906502788+64.84388544706405j),(-1695.2240516821973+105.54937806813865j),(-1982.7629156980818+160.1104470773036j),(-2507.2366097205877+244.26815079776975j),(-3618.400798211958+405.1804874277575j),(-7134.27941419113+885.9382848915893j),(157353.80514870872-21067.2622372075j),(6256.626790300914-882.2920625370671j),(3154.4013408136493-459.19572795104244j),(2105.7116657491233-310.81400735518423j),(1585.4331178323378-233.3982753642303j),(1278.5539818330308-184.79813173721675j),(1078.7653631985972-150.74241675501665j),(940.2624391445152-125.04746677145427j),(840.1174148286427-104.5902817793831j),(765.6247419607641-87.61658937838618j),(709.2110507099144-73.05926543641037j),(666.1141785138159-60.226630992042374j),(633.2218243642274-48.64559488768046j),(608.447870575122-37.97647135110207j),(590.3790605859172-27.963642292683843j),(578.0672734929622-18.40523706080989j),(570.9053667278167-9.133323638744523j),(568.5543984559936+2.55351295663786e-13j),(570.9053667278167+9.133323638744319j),(578.0672734929615+18.405237060809696j),(590.3790605859145+27.96364229267123j),(608.447870575122+37.976471351101715j),(633.2218243642274+48.64559488768046j),(666.1141785138159+60.22663099204264j),(709.2110507099164+73.05926543641341j),(765.624741960765+87.61658937838689j),(840.1174148286427+104.59028177938305j),(940.2624391445155+125.04746677145476j),(1078.7653631985968+150.74241675501656j),(1278.5539818330294+184.79813173721647j),(1585.4331178323346+233.39827536422268j),(2105.7116657491233+310.8140073551839j),(3154.4013408136493+459.19572795104244j),(6256.626790300914+882.2920625370665j),(157353.80514870872+21067.262237207513j),(-7134.27941419113-885.9382848915888j),(-3618.400798211958-405.1804874277573j),(-2507.236609720588-244.2681507977688j),(-1982.762915698081-160.11044707730335j),(-1695.224051682198-105.54937806813993j),(-1531.5006906502713-64.8438854470582j),(-1445.9201355748783-30.9775929504732j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(-5.840214020584118e-14+3.210684827617561e-14j),(-4.013356034521951e-15-7.300267525730147e-15j),0j,0j,0j,(5.137095724188098e-13+9.344342432934588e-13j),(2.4966198496145253e-13-9.922632300178185e-14j),0j,0j,0j,(-4.013356034521951e-15-7.300267525730147e-15j),0j,0j,(-2.0066780172609756e-15-3.6501337628650735e-15j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.0033390086304878e-15+1.8250668814325368e-15j),0j,0j,0j,0j,(2.920107010292059e-14-1.6053424138087805e-14j),0j,0j,(4.013356034521951e-15+7.300267525730147e-15j),(4.013356034521951e-15+7.300267525730147e-15j),0j,0j,(2.336085608233647e-13-1.2842739310470244e-13j),0j,0j,(8.026712069043902e-15+1.4600535051460294e-14j),0j,0j,0j,0j,(-5.840214020584118e-14+3.210684827617561e-14j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(3.727372501065657e-12-5.873399241860209e-12j),0j,(-7.169676808911388e-16-4.550015260089914e-16j),(-1.3126113470505449e-14+2.3852968840534424e-14j),(1.1692178108723171e-14-2.4762971892552407e-14j),(2.8678707235645552e-15+1.8200061040359655e-15j),(2.912009766457545e-14-4.5885931577032884e-14j),(-1.1471482894258221e-14-7.280024416143862e-15j),(3.6708745261626307e-13+2.329607813166036e-13j),(6.971167822340912e-14-8.449183873792191e-14j),(3.485583911170456e-14-4.2245919368960954e-14j),(2.0295790279416836e-14-1.930295358044451e-14j),0j,(4.4121536925793076e-15-1.3291488998294186e-14j),(-8.71395977792614e-15+1.0561479842240239e-14j),(-1.4339353617822776e-15-9.100030520179828e-16j),(-1.4339353617822776e-15-9.100030520179828e-16j),0j,(-7.169676808911388e-16-4.550015260089914e-16j),0j,(-4.35697988896307e-15+5.280739921120119e-15j),(-3.584838404455694e-16-2.275007630044957e-16j),(3.2815283676263623e-15-5.963242210133606e-15j),(3.819254128294716e-15-5.621991065626863e-15j),(-3.729633168183324e-15+5.678866256377986e-15j),(-7.280024416143865e-15+1.1471482894258221e-14j),(-3.819254128294716e-15+5.621991065626863e-15j),(-3.819254128294716e-15+5.621991065626863e-15j),0j,(7.169676808911388e-16+4.550015260089914e-16j),(-2.9230445271807928e-15+6.190742973138102e-15j),0j,0j,0j,(7.280024416143862e-15-1.1471482894258221e-14j),0j,(7.280024416143862e-15-1.1471482894258221e-14j),(-4.4121536925793076e-15+1.3291488998294186e-14j),(1.742791955585228e-14-2.1122959684480477e-14j),(1.742791955585228e-14-2.1122959684480477e-14j),(2.3384356217446342e-14-4.9525943785104813e-14j),(5.82401953291509e-14-9.177186315406577e-14j),0j,(-1.1471482894258221e-14-7.280024416143862e-15j),(3.485583911170456e-14-4.2245919368960954e-14j),0j,(-2.8678707235645552e-15-1.8200061040359655e-15j),0j,(-1.5277016513178865e-14+2.2487964262507452e-14j),(-1.4918532672733298e-14+2.2715465025511944e-14j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(2.9507729029784476e-13-4.690119223045355e-12j),0j,(-5.725243192194037e-16-3.602017703831113e-17j),(-7.5970267871495e-18+1.839281856909754e-14j),(-1.1374516116516587e-15-1.8464858923174165e-14j),(2.2900972768776148e-15+1.440807081532445e-16j),(2.305291330451912e-15-3.6641556430041836e-14j),(-9.160389107510459e-15-5.76322832612978e-16j),(2.931324514403347e-13+1.8442330643615297e-14j),(1.3770971768414283e-14-7.27067900274707e-14j),(6.885485884207142e-15-3.635339501373535e-14j),(5.7328402189811856e-15-1.803261679871443e-14j),0j,(-1.7137744442646363e-15-9.304469815663705e-15j),(-1.7213714710517854e-15+9.088348753433837e-15j),(-1.1450486384388074e-15-7.204035407662226e-17j),(-1.1450486384388074e-15-7.204035407662226e-17j),0j,(-5.725243192194037e-16-3.602017703831113e-17j),0j,(-8.606857355258927e-16+4.5441743767169185e-15j),(-2.8626215960970184e-16-1.8010088519155564e-17j),(1.899256696787375e-18-4.598204642274385e-15j),(4.3129249611134004e-16-4.571189509495652e-15j),(-3.5972695620891453e-16+4.575692031625441e-15j),(-5.7632283261298e-16+9.16038910751046e-15j),(-4.3129249611134004e-16+4.571189509495652e-15j),(-4.3129249611134004e-16+4.571189509495652e-15j),0j,(5.725243192194037e-16+3.602017703831113e-17j),(2.8436290291291467e-16+4.616214730793541e-15j),0j,0j,0j,(5.76322832612978e-16-9.160389107510459e-15j),0j,(5.76322832612978e-16-9.160389107510459e-15j),(1.7137744442646363e-15+9.304469815663705e-15j),(3.442742942103571e-15-1.8176697506867674e-14j),(3.442742942103571e-15-1.8176697506867674e-14j),(-2.2749032233033173e-15-3.692971784634833e-14j),(4.610582660903824e-15-7.328311286008367e-14j),0j,(-9.160389107510459e-15-5.76322832612978e-16j),(6.885485884207142e-15-3.635339501373535e-14j),0j,(-2.2900972768776148e-15-1.440807081532445e-16j),0j,(-1.7251699844453602e-15+1.828475803798261e-14j),(-1.4389078248356581e-15+1.8302768126501765e-14j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(7.382413793511144e-15+1.5688427890219002e-14j),(-1.9610534862773752e-15+9.22801724188893e-16j),0j,0j,0j,(2.5101484624350403e-13-1.181186206961783e-13j),(-2.1685441228935065e-14-6.644491845763158e-14j),0j,0j,0j,(-1.9610534862773752e-15+9.22801724188893e-16j),0j,0j,(-9.805267431386876e-16+4.614008620944465e-16j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.902633715693438e-16-2.3070043104722326e-16j),0j,0j,0j,0j,(-3.691206896755572e-15-7.844213945109501e-15j),0j,0j,(1.9610534862773752e-15-9.22801724188893e-16j),(1.9610534862773752e-15-9.22801724188893e-16j),0j,0j,(-2.952965517404458e-14-6.275371156087601e-14j),0j,0j,(3.9221069725547504e-15-1.845603448377786e-15j),0j,0j,0j,0j,(7.382413793511144e-15+1.5688427890219002e-14j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(-4.547473508864641e-13+0j),0j,0j,(1.1368683772161603e-13+0j),0j,1.4210854715202004e-14j,(-5.684341886080802e-14+0j),0j,0j,0j,0j,0j,0j,0j,(-2.842170943040401e-14+0j),(-2.842170943040401e-14+0j),0j,(-2.842170943040401e-14+4.440892098500626e-16j),0j,(2.842170943040401e-14+0j),0j,0j,(-2.842170943040401e-14+0j),0j,0j,0j,0j,0j,(5.684341886080802e-14+0j),0j,(-5.684341886080802e-14+0j),0j,0j,(1.1368683772161603e-13+0j),5.684341886080802e-14j,0j,(-4.547473508864641e-13+5.684341886080802e-14j),0j,0j,0j,0j,(-5.684341886080802e-14+0j),0j
